fill_id,datetime_utc,date,market_question,market_id_short,side,action_plain,size_shares,price,notional_usd,mid,edge_vs_mid_cents,inv_yes_after,inv_no_after,net_inv_after,cash_after,fee,rebate
21,2026-07-13T14:43:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),103.28,0.23,23.7544,0.235,-0.5,0,15.492,-15.492,9883.71,0,0
22,2026-07-13T15:25:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.23,23.7544,0.225,-0.5,103.28,15.492,87.788,9859.96,0,0
23,2026-07-13T16:07:00+00:00,2026-07-13,Will the Fed increase interest rates by 25 bps after the October 2026 meeting?,0x12aa13b3,sell_yes,Sold YES (ask lifted),51.64,0.2,10.328,0.205,-0.5,0,51.64,-51.64,9828.97,0,0
24,2026-07-13T16:33:00+00:00,2026-07-13,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),60.9352,0.27,16.4525,0.285,-1.5,0,4.6476,-4.6476,9842.03,0,0
25,2026-07-13T16:47:00+00:00,2026-07-13,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),54.7384,0.38,20.8006,0.385,-0.5,0,59.386,-59.386,9828.89,0,0
26,2026-07-13T16:58:00+00:00,2026-07-13,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),106.378,0.69,73.4011,0.68,-1,106.378,103.28,3.0984,9755.49,0,0
27,2026-07-13T17:09:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.2,20.656,0.175,-2.5,209.658,115.674,93.9848,9734.84,0,0
28,2026-07-13T17:12:00+00:00,2026-07-13,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.45,46.476,0.445,-0.5,103.28,0,103.28,9688.36,0,0
29,2026-07-13T17:14:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.18,18.5904,0.19,-1,106.378,115.674,-9.2952,9706.95,0,0
30,2026-07-13T17:46:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),103.28,0.23,23.7544,0.235,-0.5,0,15.492,-15.492,9730.71,0,0
31,2026-07-13T17:46:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.19,19.6232,0.185,-0.5,209.658,115.674,93.9848,9711.08,0,0
32,2026-07-13T17:47:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.23,23.7544,0.23,-0,103.28,15.492,87.788,9687.33,0,0
33,2026-07-13T18:41:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),103.28,0.23,23.7544,0.245,-1.5,0,15.492,-15.492,9711.08,0,0
34,2026-07-13T18:41:00+00:00,2026-07-13,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.36,18.5904,0.355,-0.5,51.64,59.386,-7.746,9692.49,0,0
35,2026-07-13T19:10:00+00:00,2026-07-13,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),112.575,0.51,57.4134,0.52,-1,0,112.575,-112.575,9694.74,0,0
36,2026-07-13T19:35:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.18,-1,106.378,115.674,-9.2952,9712.3,0,0
37,2026-07-13T19:41:00+00:00,2026-07-13,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.65,67.132,0.645,-0.5,209.658,103.28,106.378,9645.17,0,0
38,2026-07-13T19:45:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.17,-0,209.658,115.674,93.9848,9627.61,0,0
39,2026-07-13T19:46:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.25,25.82,0.245,-0.5,103.28,15.492,87.788,9601.79,0,0
40,2026-07-13T19:47:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),103.28,0.25,25.82,0.255,-0.5,0,15.492,-15.492,9627.61,0,0
41,2026-07-13T20:01:00+00:00,2026-07-13,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.25,25.82,0.245,-0.5,103.28,15.492,87.788,9601.79,0,0
42,2026-07-13T20:03:00+00:00,2026-07-13,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),47.9219,0.67,32.1077,0.68,-1,161.736,103.28,58.4565,9633.9,0,0
43,2026-07-13T20:10:00+00:00,2026-07-13,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),128.067,0.56,71.7176,0.555,-0.5,128.067,112.575,15.492,9562.18,0,0
44,2026-07-13T20:11:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,106.378,115.674,-9.2952,9579.74,0,0
45,2026-07-13T20:15:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.17,-0,209.658,115.674,93.9848,9562.18,0,0
46,2026-07-13T20:16:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),106.378,0.17,18.0843,0.175,-0.5,103.28,115.674,-12.3936,9580.27,0,0
47,2026-07-13T20:23:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.165,-0.5,206.56,115.674,90.8864,9562.71,0,0
48,2026-07-13T20:26:00+00:00,2026-07-13,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),50.7972,0.52,26.4146,0.53,-1,77.27,112.575,-35.3052,9589.12,0,0
49,2026-07-13T20:26:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),106.378,0.17,18.0843,0.18,-1,100.182,115.674,-15.492,9607.21,0,0
50,2026-07-13T20:30:00+00:00,2026-07-13,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.41,42.3448,0.415,-0.5,0,0,0,9649.55,0,0
51,2026-07-13T21:01:00+00:00,2026-07-13,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.18,18.5904,0.175,-0.5,203.462,115.674,87.788,9630.96,0,0
52,2026-07-13T21:53:00+00:00,2026-07-13,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.36,18.5904,0.355,-0.5,103.28,59.386,43.894,9612.37,0,0
53,2026-07-14T00:06:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.5,51.64,0.495,-0.5,180.55,112.575,67.9748,9612.6,0,0
54,2026-07-14T00:10:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),56.2876,0.37,20.8264,0.375,-0.5,46.9924,59.386,-12.3936,9633.43,0,0
55,2026-07-14T00:58:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.5,51.64,0.525,-2.5,77.27,112.575,-35.3052,9685.07,0,0
56,2026-07-14T01:22:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the October 2026 meeting?,0x12aa13b3,buy_yes,Bought YES (bid hit),51.64,0.17,8.7788,0.17,-0,51.64,51.64,0,9676.29,0,0
57,2026-07-14T01:51:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,100.182,115.674,-15.492,9693.85,0,0
58,2026-07-14T02:03:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.165,-0.5,203.462,115.674,87.788,9676.29,0,0
59,2026-07-14T02:26:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),54.7384,0.39,21.348,0.365,-2.5,101.731,59.386,42.3448,9654.94,0,0
60,2026-07-14T02:41:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.35,18.074,0.36,-1,50.0908,59.386,-9.2952,9673.01,0,0
61,2026-07-14T03:13:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,100.182,115.674,-15.492,9690.57,0,0
62,2026-07-14T03:20:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.37,19.1068,0.365,-0.5,101.731,59.386,42.3448,9671.46,0,0
63,2026-07-14T03:57:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.37,19.1068,0.375,-0.5,50.0908,59.386,-9.2952,9690.57,0,0
64,2026-07-14T05:41:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),112.575,0.53,59.6649,0.525,-0.5,189.845,112.575,77.27,9630.91,0,0
65,2026-07-14T07:38:00+00:00,2026-07-14,Iran leadership change by December 31?,0x377e7fe6,sell_yes,Sold YES (ask lifted),103.28,0.23,23.7544,0.235,-0.5,0,15.492,-15.492,9654.66,0,0
66,2026-07-14T08:00:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.38,19.6232,0.375,-0.5,101.731,59.386,42.3448,9635.04,0,0
67,2026-07-14T08:13:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.52,53.7056,0.525,-0.5,86.5652,112.575,-26.01,9688.74,0,0
68,2026-07-14T10:49:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.33,17.0412,0.335,-0.5,50.0908,59.386,-9.2952,9705.78,0,0
69,2026-07-14T10:50:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),109.477,0.6,65.6861,0.61,-1,52.2597,103.28,-51.0203,9771.47,0,0
70,2026-07-14T10:58:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.61,63.0008,0.595,-1.5,155.54,103.28,52.2597,9708.47,0,0
71,2026-07-14T11:03:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.6,61.968,0.61,-1,52.2597,103.28,-51.0203,9770.44,0,0
72,2026-07-14T11:15:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.6,61.968,0.59,-1,155.54,103.28,52.2597,9708.47,0,0
73,2026-07-14T11:18:00+00:00,2026-07-14,Iran leadership change by December 31?,0x377e7fe6,buy_yes,Bought YES (bid hit),103.28,0.23,23.7544,0.225,-0.5,103.28,15.492,87.788,9684.72,0,0
74,2026-07-14T12:06:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),109.477,0.6,65.6861,0.605,-0.5,46.0629,103.28,-57.2171,9750.4,0,0
75,2026-07-14T12:30:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),134.264,0.62,83.2437,0.615,-0.5,180.327,103.28,77.0469,9667.16,0,0
76,2026-07-14T12:30:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),140.461,0.52,73.0396,0.495,-2.5,227.026,112.575,114.451,9594.12,0,0
77,2026-07-14T12:31:00+00:00,2026-07-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),124.969,0.46,57.4856,0.49,-3,0,124.969,-124.969,9584.12,0,0
78,2026-07-14T12:33:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.59,60.9352,0.605,-1.5,77.0469,103.28,-26.2331,9645.06,0,0
79,2026-07-14T12:35:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),115.674,0.6,69.4042,0.565,-3.5,192.72,103.28,89.4405,9575.65,0,0
80,2026-07-14T12:38:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.34,17.5576,0.34,-0,101.731,59.386,42.3448,9558.09,0,0
81,2026-07-14T12:40:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),106.378,0.41,43.6151,0.415,-0.5,120.648,112.575,8.07236,9601.71,0,0
82,2026-07-14T12:41:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.55,56.804,0.555,-0.5,89.4405,103.28,-13.8395,9658.51,0,0
83,2026-07-14T12:44:00+00:00,2026-07-14,Will there be no change in Fed interest rates after the October 2026 meeting?,0xdf9bf27e,buy_yes,Bought YES (bid hit),54.7384,0.66,36.1273,0.655,-0.5,54.7384,0,54.7384,9622.39,0,0
84,2026-07-14T12:46:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.55,56.804,0.51,-4,192.72,103.28,89.4405,9565.58,0,0
85,2026-07-14T12:51:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.43,44.4104,0.435,-0.5,17.3676,112.575,-95.2076,9609.99,0,0
86,2026-07-14T13:07:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.165,-0.5,203.462,115.674,87.788,9592.43,0,0
87,2026-07-14T13:40:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),115.674,0.42,48.5829,0.415,-0.5,133.041,112.575,20.466,9543.85,0,0
88,2026-07-14T13:52:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,100.182,115.674,-15.492,9561.41,0,0
89,2026-07-14T14:00:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.37,38.2136,0.375,-0.5,29.7612,112.575,-82.814,9599.62,0,0
90,2026-07-14T14:04:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),54.7384,0.35,19.1584,0.36,-1,46.9924,59.386,-12.3936,9618.78,0,0
91,2026-07-14T14:05:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),106.378,0.17,18.0843,0.17,-0,206.56,115.674,90.8864,9600.7,0,0
92,2026-07-14T14:08:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.37,38.2136,0.365,-0.5,133.041,112.575,20.466,9562.48,0,0
93,2026-07-14T14:21:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.17,17.5576,0.175,-0.5,103.28,115.674,-12.3936,9580.04,0,0
94,2026-07-14T14:31:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.34,35.1152,0.36,-2,29.7612,112.575,-82.814,9615.16,0,0
95,2026-07-14T14:35:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.35,36.148,0.335,-1.5,133.041,112.575,20.466,9579.01,0,0
96,2026-07-14T14:36:00+00:00,2026-07-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),109.477,0.34,37.2221,0.345,-0.5,23.5644,112.575,-89.0108,9616.23,0,0
97,2026-07-14T15:11:00+00:00,2026-07-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.17,17.5576,0.165,-0.5,206.56,115.674,90.8864,9598.67,0,0
98,2026-07-14T16:12:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),109.477,0.48,52.5489,0.485,-0.5,83.2437,103.28,-20.0363,9651.22,0,0
99,2026-07-14T17:36:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.37,19.1068,0.365,-0.5,98.6324,59.386,39.2464,9632.11,0,0
100,2026-07-14T18:32:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.37,19.1068,0.385,-1.5,46.9924,59.386,-12.3936,9651.22,0,0
101,2026-07-14T18:41:00+00:00,2026-07-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.5,51.64,0.495,-0.5,186.524,103.28,83.2437,9599.58,0,0
102,2026-07-14T22:05:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.37,19.1068,0.365,-0.5,98.6324,59.386,39.2464,9580.47,0,0
103,2026-07-14T22:08:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.37,19.1068,0.38,-1,46.9924,59.386,-12.3936,9599.58,0,0
104,2026-07-14T23:30:00+00:00,2026-07-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.37,19.1068,0.365,-0.5,98.6324,59.386,39.2464,9580.47,0,0
105,2026-07-15T00:01:00+00:00,2026-07-15,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.16,16.5248,0.36,-20,103.28,115.674,-12.3936,9644.74,0,0
106,2026-07-15T00:13:00+00:00,2026-07-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.57,58.8696,0.565,-0.5,103.28,124.969,-21.6888,9585.87,0,0
107,2026-07-15T07:44:00+00:00,2026-07-15,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,sell_yes,Sold YES (ask lifted),51.64,0.37,19.1068,0.375,-0.5,46.9924,59.386,-12.3936,9604.98,0,0
108,2026-07-15T10:59:00+00:00,2026-07-15,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.36,37.1808,0.345,-1.5,126.844,112.575,14.2692,9567.8,0,0
109,2026-07-15T11:31:00+00:00,2026-07-15,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.35,36.148,0.355,-0.5,23.5644,112.575,-89.0108,9603.94,0,0
110,2026-07-15T11:31:00+00:00,2026-07-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.61,63.0008,0.605,-0.5,206.56,124.969,81.5912,9540.94,0,0
111,2026-07-15T12:09:00+00:00,2026-07-15,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.15,15.492,0.145,-0.5,206.56,115.674,90.8864,9525.45,0,0
112,2026-07-15T12:32:00+00:00,2026-07-15,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),112.575,0.35,39.4013,0.34,-1,136.14,112.575,23.5644,9486.05,0,0
113,2026-07-15T12:32:00+00:00,2026-07-15,Will there be no change in Fed interest rates after the October 2026 meeting?,0xdf9bf27e,sell_yes,Sold YES (ask lifted),51.64,0.59,30.4676,0.595,-0.5,3.0984,0,3.0984,9516.52,0,0
114,2026-07-15T12:43:00+00:00,2026-07-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.61,63.0008,0.615,-0.5,103.28,124.969,-21.6888,9579.52,0,0
115,2026-07-15T12:55:00+00:00,2026-07-15,Will Spider-Man: Brand New Day be the top grossing movie of 2026?,0xc4b07998,buy_yes,Bought YES (bid hit),25.82,0.68,17.5576,0.67,-1,25.82,0,25.82,9561.96,0,0
