fill_id,datetime_utc,date,market_question,market_id_short,side,action_plain,size_shares,price,notional_usd,mid,edge_vs_mid_cents,inv_yes_after,inv_no_after,net_inv_after,cash_after,fee,rebate
13,2026-05-14T01:24:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.275,-2.5,103.28,38.2136,65.0664,9828.89,0,0
14,2026-05-14T01:27:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9860.91,0,0
15,2026-05-14T01:28:00+00:00,2026-05-14,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.24,24.7872,0.2,-4,103.28,0,103.28,9836.12,0,0
16,2026-05-14T01:39:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9805.14,0,0
17,2026-05-14T01:41:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9837.15,0,0
18,2026-05-14T01:44:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9806.17,0,0
19,2026-05-14T01:46:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.57,58.8696,0.58,-1,0,0,0,9865.04,0,0
20,2026-05-14T01:48:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9897.06,0,0
21,2026-05-14T01:57:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9866.07,0,0
22,2026-05-14T02:00:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,38.2136,-38.2136,9898.09,0,0
23,2026-05-14T02:02:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,38.2136,65.0664,9867.1,0,0
24,2026-05-14T02:14:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.34,-3,0,38.2136,-38.2136,9899.12,0,0
25,2026-05-14T02:16:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.31,32.0168,0.28,-3,103.28,38.2136,65.0664,9867.1,0,0
26,2026-05-14T02:32:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),106.378,0.31,32.9773,0.33,-2,0,41.312,-41.312,9897.94,0,0
27,2026-05-14T02:48:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.31,32.0168,0.29,-2,103.28,41.312,61.968,9865.93,0,0
28,2026-05-14T02:50:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.34,-3,0,41.312,-41.312,9897.94,0,0
29,2026-05-14T02:55:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,41.312,61.968,9866.96,0,0
30,2026-05-14T02:57:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),106.378,0.32,34.0411,0.335,-1.5,0,44.4104,-44.4104,9898.89,0,0
31,2026-05-14T03:03:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.31,32.0168,0.285,-2.5,103.28,44.4104,58.8696,9866.88,0,0
32,2026-05-14T03:07:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),106.378,0.31,32.9773,0.335,-2.5,0,47.5088,-47.5088,9897.72,0,0
33,2026-05-14T03:16:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.31,32.0168,0.28,-3,103.28,47.5088,55.7712,9865.7,0,0
34,2026-05-14T03:18:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.32,33.0496,0.335,-1.5,0,47.5088,-47.5088,9898.75,0,0
35,2026-05-14T03:52:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9867.77,0,0
36,2026-05-14T03:56:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9899.78,0,0
37,2026-05-14T03:59:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9868.8,0,0
38,2026-05-14T04:01:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9900.82,0,0
39,2026-05-14T04:08:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9869.83,0,0
40,2026-05-14T04:12:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9901.85,0,0
41,2026-05-14T04:14:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.285,-1.5,103.28,47.5088,55.7712,9870.86,0,0
42,2026-05-14T04:17:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9902.88,0,0
43,2026-05-14T04:20:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9871.9,0,0
44,2026-05-14T04:32:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9903.91,0,0
45,2026-05-14T04:35:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9872.93,0,0
46,2026-05-14T04:42:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9904.95,0,0
47,2026-05-14T04:44:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9873.96,0,0
48,2026-05-14T04:54:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9905.98,0,0
49,2026-05-14T05:03:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9875,0,0
50,2026-05-14T05:10:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9907.01,0,0
51,2026-05-14T05:12:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9876.03,0,0
52,2026-05-14T05:22:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9908.04,0,0
53,2026-05-14T05:31:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9877.06,0,0
54,2026-05-14T05:38:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9909.08,0,0
55,2026-05-14T05:47:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,103.28,47.5088,55.7712,9878.09,0,0
56,2026-05-14T05:56:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,0,47.5088,-47.5088,9910.11,0,0
57,2026-05-14T06:05:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),106.378,0.31,32.9773,0.285,-2.5,106.378,47.5088,58.8696,9877.13,0,0
58,2026-05-14T06:18:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,3.0984,47.5088,-44.4104,9909.15,0,0
59,2026-05-14T06:20:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,106.378,47.5088,58.8696,9878.17,0,0
60,2026-05-14T06:32:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.32,33.0496,0.34,-2,3.0984,47.5088,-44.4104,9911.22,0,0
61,2026-05-14T06:49:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,106.378,47.5088,58.8696,9880.23,0,0
62,2026-05-14T06:57:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.335,-2.5,3.0984,47.5088,-44.4104,9912.25,0,0
63,2026-05-14T07:04:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,106.378,47.5088,58.8696,9881.26,0,0
64,2026-05-14T07:07:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.31,32.0168,0.34,-3,3.0984,47.5088,-44.4104,9913.28,0,0
65,2026-05-14T07:09:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.3,30.984,0.28,-2,106.378,47.5088,58.8696,9882.3,0,0
66,2026-05-14T07:15:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.32,33.0496,0.335,-1.5,3.0984,47.5088,-44.4104,9915.35,0,0
67,2026-05-14T07:24:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.31,32.0168,0.28,-3,106.378,47.5088,58.8696,9883.33,0,0
68,2026-05-14T07:30:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),109.477,0.32,35.0326,0.385,-6.5,0,50.6072,-50.6072,9916.26,0,0
69,2026-05-14T07:33:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.67,69.1976,0.665,-0.5,103.28,0,103.28,9847.06,0,0
70,2026-05-14T08:14:00+00:00,2026-05-14,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.36,37.1808,0.285,-7.5,103.28,50.6072,52.6728,9809.88,0,0
71,2026-05-14T08:47:00+00:00,2026-05-14,Will Ulf Kristersson be the next Prime Minister of Sweden?,0x8a42bb4c,buy_yes,Bought YES (bid hit),51.64,0.27,13.9428,0.235,-3.5,51.64,0,51.64,9795.93,0,0
72,2026-05-14T11:53:00+00:00,2026-05-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),106.378,0.17,18.0843,0.175,-0.5,0,3.0984,-3.0984,9811.45,0,0
73,2026-05-14T12:04:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),112.575,0.71,79.9284,0.715,-0.5,0,9.2952,-9.2952,9888.68,0,0
74,2026-05-14T12:10:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.7,72.296,0.68,-2,103.28,9.2952,93.9848,9816.38,0,0
75,2026-05-14T12:24:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.72,74.3616,0.725,-0.5,0,9.2952,-9.2952,9890.75,0,0
76,2026-05-14T12:25:00+00:00,2026-05-14,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),47.9219,0.68,32.5869,0.68,-0,47.9219,9.2952,38.6267,9858.16,0,0
77,2026-05-14T14:20:00+00:00,2026-05-14,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.15,15.492,0.135,-1.5,103.28,3.0984,100.182,9842.67,0,0
78,2026-05-14T14:48:00+00:00,2026-05-14,Clarity Act (H.R.3633) signed into law in 2026?,0x9cb23d04,buy_yes,Bought YES (bid hit),51.64,0.64,33.0496,0.635,-0.5,51.64,0,51.64,9809.62,0,0
79,2026-05-15T00:04:00+00:00,2026-05-15,Will Ulf Kristersson be the next Prime Minister of Sweden?,0x8a42bb4c,sell_yes,Sold YES (ask lifted),53.1892,0.17,9.0422,0.245,-7.5,0,1.5492,-1.5492,9833.65,0,0
80,2026-05-15T00:13:00+00:00,2026-05-15,Will Harry Kane win the 2026 Ballon d'Or?,0x12dc2b61,sell_yes,Sold YES (ask lifted),25.82,0.13,3.3566,0.172,-4.2,0.85206,0,0.85206,9837,0,0
81,2026-05-15T00:40:00+00:00,2026-05-15,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.12,12.3936,0.125,-0.5,0,3.0984,-3.0984,9849.4,0,0
82,2026-05-15T00:50:00+00:00,2026-05-15,Will Édouard Philippe win the 2027 French presidential election?,0x46f2f457,sell_yes,Sold YES (ask lifted),51.64,0.15,7.746,0.2,-5,0,51.64,-51.64,9813.25,0,0
83,2026-05-15T01:57:00+00:00,2026-05-15,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.22,22.7216,0.24,-2,0,50.6072,-50.6072,9835.97,0,0
84,2026-05-15T04:22:00+00:00,2026-05-15,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.26,26.8528,0.255,-0.5,103.28,50.6072,52.6728,9809.12,0,0
85,2026-05-15T07:57:00+00:00,2026-05-15,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,buy_yes,Bought YES (bid hit),103.28,0.08,8.2624,0.065,-1.5,103.28,3.0984,100.182,9800.85,0,0
86,2026-05-15T08:37:00+00:00,2026-05-15,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.26,26.8528,0.265,-0.5,0,50.6072,-50.6072,9827.71,0,0
87,2026-05-15T10:52:00+00:00,2026-05-15,Will no Fed rate cuts happen in 2026?,0xd4e77ba6,buy_yes,Bought YES (bid hit),25.82,0.69,17.8158,0.6775,-1.25,25.82,0,25.82,9809.89,0,0
88,2026-05-15T20:16:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.77,79.5256,0.775,-0.5,0,64.6533,-64.6533,9876.68,0,0
89,2026-05-15T20:23:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.77,79.5256,0.765,-0.5,103.28,64.6533,38.6267,9797.16,0,0
90,2026-05-15T20:24:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.77,79.5256,0.775,-0.5,0,64.6533,-64.6533,9876.68,0,0
91,2026-05-15T20:49:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.77,79.5256,0.765,-0.5,103.28,64.6533,38.6267,9797.16,0,0
92,2026-05-15T21:12:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.76,78.4928,0.765,-0.5,0,64.6533,-64.6533,9875.65,0,0
93,2026-05-15T21:32:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.76,78.4928,0.755,-0.5,103.28,64.6533,38.6267,9797.16,0,0
94,2026-05-15T21:34:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.76,78.4928,0.765,-0.5,0,64.6533,-64.6533,9875.65,0,0
95,2026-05-15T21:37:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.76,78.4928,0.755,-0.5,103.28,64.6533,38.6267,9797.16,0,0
96,2026-05-15T22:45:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.76,78.4928,0.765,-0.5,0,64.6533,-64.6533,9875.65,0,0
97,2026-05-15T22:46:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.76,78.4928,0.755,-0.5,103.28,64.6533,38.6267,9797.16,0,0
98,2026-05-15T23:37:00+00:00,2026-05-15,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.76,78.4928,0.765,-0.5,0,64.6533,-64.6533,9875.65,0,0
99,2026-05-16T00:00:00+00:00,2026-05-16,Will Édouard Philippe win the 2027 French presidential election?,0x46f2f457,buy_yes,Bought YES (bid hit),51.64,0.15,7.746,0.11,-4,51.64,51.64,0,9892.93,0,0
100,2026-05-16T00:00:00+00:00,2026-05-16,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.2,20.656,0.265,-6.5,0,0,0,9913.59,0,0
101,2026-05-16T00:01:00+00:00,2026-05-16,Will the Fed increase interest rates by 25 bps after the September 2026 meeting?,0x876506d8,sell_yes,Sold YES (ask lifted),103.28,0.13,13.4264,0.495,-36.5,0,3.0984,-3.0984,9927.01,0,0
102,2026-05-16T00:01:00+00:00,2026-05-16,Will Ulf Kristersson be the next Prime Minister of Sweden?,0x8a42bb4c,buy_yes,Bought YES (bid hit),51.64,0.25,12.91,0.235,-1.5,51.64,1.5492,50.0908,9914.1,0,0
103,2026-05-16T00:02:00+00:00,2026-05-16,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),106.378,0.75,79.7838,0.565,-18.5,106.378,64.6533,41.7251,9834.32,0,0
104,2026-05-16T00:06:00+00:00,2026-05-16,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,sell_yes,Sold YES (ask lifted),103.28,0.2,20.656,0.22,-2,0,103.28,-103.28,9772.35,0,0
105,2026-05-16T00:13:00+00:00,2026-05-16,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.56,57.8368,0.755,-19.5,3.0984,64.6533,-61.5549,9830.19,0,0
106,2026-05-16T00:16:00+00:00,2026-05-16,Will Édouard Philippe win the 2027 French presidential election?,0x46f2f457,sell_yes,Sold YES (ask lifted),51.64,0.15,7.746,0.195,-4.5,0,51.64,-51.64,9837.93,0,0
107,2026-05-16T00:26:00+00:00,2026-05-16,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),134.264,0.23,30.8807,0.22,-1,134.264,103.28,30.984,9807.05,0,0
108,2026-05-16T00:29:00+00:00,2026-05-16,Bab el-Mandeb Strait effectively closed by September 30?,0x95fc6a4e,buy_yes,Bought YES (bid hit),103.28,0.19,19.6232,0.17,-2,237.544,103.28,134.264,9787.43,0,0
109,2026-05-16T00:49:00+00:00,2026-05-16,Will Ulf Kristersson be the next Prime Minister of Sweden?,0x8a42bb4c,sell_yes,Sold YES (ask lifted),51.64,0.29,14.9756,0.295,-0.5,0,1.5492,-1.5492,9802.4,0,0
110,2026-05-16T04:06:00+00:00,2026-05-16,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.78,80.5584,0.77,-1,106.378,64.6533,41.7251,9721.85,0,0
111,2026-05-16T04:19:00+00:00,2026-05-16,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,sell_yes,Sold YES (ask lifted),103.28,0.79,81.5912,0.795,-0.5,3.0984,64.6533,-61.5549,9803.44,0,0
112,2026-05-16T08:42:00+00:00,2026-05-16,Will there be no change in Fed interest rates after the September 2026 meeting?,0xa3b36b2d,buy_yes,Bought YES (bid hit),103.28,0.81,83.6568,0.805,-0.5,106.378,64.6533,41.7251,9719.78,0,0
113,2026-05-16T16:28:00+00:00,2026-05-16,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.25,25.82,0.245,-0.5,103.28,50.6072,52.6728,9693.96,0,0
114,2026-05-16T16:32:00+00:00,2026-05-16,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.25,25.82,0.255,-0.5,0,50.6072,-50.6072,9719.78,0,0
115,2026-05-16T18:05:00+00:00,2026-05-16,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.25,25.82,0.24,-1,103.28,50.6072,52.6728,9693.96,0,0
116,2026-05-16T18:12:00+00:00,2026-05-16,Fed Rate Hike by October 2026 Meeting?,0x059db22d,sell_yes,Sold YES (ask lifted),103.28,0.25,25.82,0.255,-0.5,0,50.6072,-50.6072,9719.78,0,0
117,2026-05-16T20:21:00+00:00,2026-05-16,Fed Rate Hike by October 2026 Meeting?,0x059db22d,buy_yes,Bought YES (bid hit),103.28,0.26,26.8528,0.255,-0.5,103.28,50.6072,52.6728,9692.93,0,0
